record_type,scenario_id,scenario_seed,steps_executed,termination,extinguished_at_step,burned_cells,burned_percent,cell_updates,initialization_seconds,simulation_seconds,step_compute_seconds,swap_seconds,mean_step_seconds,min_step_seconds,max_step_seconds,total_core_seconds,throughput_cell_updates_per_second,mean_scenario_seconds,completed_scenarios,extinguished_scenarios,max_steps_scenarios,valid_cells,nodata_cells,non_combustible_cells,initially_combustible_cells,burned_hectares,combustible_burned_percent,terrain_load_seconds
scenario,0,42,1024,max_steps,-1,875910,83.53328704833984375,1073741824,0,20.3092144139999994933987181867,20.3092144139999994933987181867,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,1,43,1024,max_steps,-1,884948,84.3952178955078125,1073741824,0,0.0942941169999999967421544511126,0.0942941169999999967421544511126,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,2,44,1024,max_steps,-1,878944,83.8226318359375,1073741824,0,0.09332291600000000575398928504,0.09332291600000000575398928504,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,3,45,1024,max_steps,-1,881007,84.019374847412109375,1073741824,0,0.0930545279999999974673841052208,0.0930545279999999974673841052208,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,4,46,1024,max_steps,-1,878737,83.802890777587890625,1073741824,0,0.0935071259999999959688921080669,0.0935071259999999959688921080669,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,5,47,1024,max_steps,-1,882224,84.13543701171875,1073741824,0,0.09314241299999999335046396709,0.09314241299999999335046396709,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,6,48,1024,max_steps,-1,881603,84.076213836669921875,1073741824,0,0.093145740000000004643609941013,0.093145740000000004643609941013,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,7,49,1024,max_steps,-1,885532,84.4509124755859375,1073741824,0,0.0939257790000000009067449013855,0.0939257790000000009067449013855,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,8,50,1024,max_steps,-1,883217,84.230136871337890625,1073741824,0,0.0910563800000000062029315017753,0.0910563800000000062029315017753,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,9,51,1024,max_steps,-1,881117,84.029865264892578125,1073741824,0,0.0905645780000000066856102876045,0.0905645780000000066856102876045,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,10,52,1024,max_steps,-1,885009,84.401035308837890625,1073741824,0,0.0898778660000000007013198910499,0.0898778660000000007013198910499,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,11,53,1024,max_steps,-1,883317,84.239673614501953125,1073741824,0,0.084754363999999998702250536553,0.084754363999999998702250536553,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,12,54,1024,max_steps,-1,879156,83.8428497314453125,1073741824,0,0.0851830070000000050267630058443,0.0851830070000000050267630058443,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,13,55,1024,max_steps,-1,884590,84.36107635498046875,1073741824,0,0.0920992060000000029029720849394,0.0920992060000000029029720849394,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,14,56,1024,max_steps,-1,882568,84.168243408203125,1073741824,0,0.0931629229999999947109401432499,0.0931629229999999947109401432499,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,15,57,1024,max_steps,-1,879559,83.881282806396484375,1073741824,0,0.0921343730000000055158082545859,0.0921343730000000055158082545859,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,16,58,1024,max_steps,-1,884584,84.360504150390625,1073741824,0,0.0923628660000000017982202393796,0.0923628660000000017982202393796,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,17,59,1024,max_steps,-1,888776,84.760284423828125,1073741824,0,0.089242501000000001853962317,0.089242501000000001853962317,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,18,60,1024,max_steps,-1,879570,83.88233184814453125,1073741824,0,0.0916495840000000061564833231387,0.0916495840000000061564833231387,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,19,61,1024,max_steps,-1,883056,84.21478271484375,1073741824,0,0.0919689800000000057256244190285,0.0919689800000000057256244190285,0,0,0,0,0,0,,,,,0,0,0,0,,0,
batch,,,,,,,84.130401611328125,21474836480,0,22.047663660999997858880306012,22.047663660999997858880306012,0,0.00107654607719726556382122684141,,,0,974018690.152042269706726074219,0,20,0,20,,,,,,,0
