record_type,scenario_id,scenario_seed,steps_executed,termination,extinguished_at_step,burned_cells,burned_percent,cell_updates,initialization_seconds,simulation_seconds,step_compute_seconds,swap_seconds,mean_step_seconds,min_step_seconds,max_step_seconds,total_core_seconds,throughput_cell_updates_per_second,mean_scenario_seconds,completed_scenarios,extinguished_scenarios,max_steps_scenarios,valid_cells,nodata_cells,non_combustible_cells,initially_combustible_cells,burned_hectares,combustible_burned_percent,terrain_load_seconds
scenario,0,42,1024,max_steps,-1,875910,83.53328704833984375,1073741824,0,0.0187022480000000011768346297458,0.0187022480000000011768346297458,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,1,43,1024,max_steps,-1,884948,84.3952178955078125,1073741824,0,0.0184771209999999991291375067703,0.0184771209999999991291375067703,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,2,44,1024,max_steps,-1,878944,83.8226318359375,1073741824,0,0.0184939029999999990372394620408,0.0184939029999999990372394620408,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,3,45,1024,max_steps,-1,881007,84.019374847412109375,1073741824,0,0.0185062169999999984182359469287,0.0185062169999999984182359469287,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,4,46,1024,max_steps,-1,878737,83.802890777587890625,1073741824,0,0.0178078220000000009282103974328,0.0178078220000000009282103974328,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,5,47,1024,max_steps,-1,882224,84.13543701171875,1073741824,0,0.0178427090000000017344650160567,0.0178427090000000017344650160567,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,6,48,1024,max_steps,-1,881603,84.076213836669921875,1073741824,0,0.0178158580000000003884519372832,0.0178158580000000003884519372832,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,7,49,1024,max_steps,-1,885532,84.4509124755859375,1073741824,0,0.0177948789999999995581347889129,0.0177948789999999995581347889129,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,8,50,1024,max_steps,-1,883217,84.230136871337890625,1073741824,0,0.0178469069999999986608774094066,0.0178469069999999986608774094066,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,9,51,1024,max_steps,-1,881117,84.029865264892578125,1073741824,0,0.0178466460000000007313225580674,0.0178466460000000007313225580674,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,10,52,1024,max_steps,-1,885009,84.401035308837890625,1073741824,0,0.0177990769999999999539941342164,0.0177990769999999999539941342164,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,11,53,1024,max_steps,-1,883317,84.239673614501953125,1073741824,0,0.0178113899999999998613464669006,0.0178113899999999998613464669006,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,12,54,1024,max_steps,-1,879156,83.8428497314453125,1073741824,0,0.0178440820000000006928519979965,0.0178440820000000006928519979965,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,13,55,1024,max_steps,-1,884590,84.36107635498046875,1073741824,0,0.0178022530000000005212523745968,0.0178022530000000005212523745968,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,14,56,1024,max_steps,-1,882568,84.168243408203125,1073741824,0,0.0178202159999999998341024820547,0.0178202159999999998341024820547,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,15,57,1024,max_steps,-1,879559,83.881282806396484375,1073741824,0,0.0178411859999999984627283566851,0.0178411859999999984627283566851,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,16,58,1024,max_steps,-1,884584,84.360504150390625,1073741824,0,0.0178045169999999988719174837115,0.0178045169999999988719174837115,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,17,59,1024,max_steps,-1,888776,84.760284423828125,1073741824,0,0.0178086540000000001504609770109,0.0178086540000000001504609770109,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,18,60,1024,max_steps,-1,879570,83.88233184814453125,1073741824,0,0.0178436810000000001252828951692,0.0178436810000000001252828951692,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,19,61,1024,max_steps,-1,883056,84.21478271484375,1073741824,0,0.0178613939999999991881107774816,0.0178613939999999991881107774816,0,0,0,0,0,0,,,,,0,0,0,0,,0,
batch,,,,,,,84.130401611328125,21474836480,0,0.359370759999999955791594175025,0.359370759999999955791594175025,0,1.75474003906249991966391499343e-05,,,0,59756771752.93839263916015625,0,20,0,20,,,,,,,0
