record_type,scenario_id,scenario_seed,steps_executed,termination,extinguished_at_step,burned_cells,burned_percent,cell_updates,initialization_seconds,simulation_seconds,step_compute_seconds,swap_seconds,mean_step_seconds,min_step_seconds,max_step_seconds,total_core_seconds,throughput_cell_updates_per_second,mean_scenario_seconds,completed_scenarios,extinguished_scenarios,max_steps_scenarios,valid_cells,nodata_cells,non_combustible_cells,initially_combustible_cells,burned_hectares,combustible_burned_percent,terrain_load_seconds
scenario,0,3448303988357642629,1024,max_steps,-1,887820,84.6691131591796875,1073741824,0.0350802240000000001285407336127,4.47597051500000020496372599155,4.47391953199999736767722424702,0.00189544700000000062439786674418,0.00437106495605468770015988866362,0.00331550499999999984113152606824,0.0103285879999999996581294681164,4.51105073899999986508646543371,239890280.86794713139533996582,,,,,1048576,0,52430,996146,,89.1254896370612357259233249351,
scenario,1,1661078409511556752,1024,max_steps,-1,886399,84.533596038818359375,1073741824,0.0348647689999999968457622401274,4.38193184100000010516851034481,4.38018090700000062298613556777,0.00159430099999999957439966724593,0.0042792303134765626027036233836,0.00333344900000000004744449277894,0.0123697319999999996026351922751,4.41679661000000045589786168421,245038458.597968876361846923828,,,,,1048576,0,52392,996184,,88.9794455642732629030433599837,
scenario,2,12318076474056867195,1024,max_steps,-1,887627,84.650707244873046875,1073741824,0.0345617130000000008505089965638,4.40882710699999957881800582982,4.40657036200000362669015885331,0.00203618500000000285377055320168,0.00430549522167968708868945881818,0.00338392700000000011539835753638,0.0100455389999999991634815899033,4.44338882000000001681883077254,243543645.042282253503799438477,,,,,1048576,0,51977,996599,,89.0656121469116470734661561437,
scenario,3,10981046395138439440,1024,max_steps,-1,886562,84.54914093017578125,1073741824,0.046803193999999999352912283257,4.41841265199999977397737893625,4.4163476169999995590842445381,0.00185616100000000005219857879268,0.00431485610546874977927478411743,0.00332356600000000002026467882388,0.0136608519999999993704831169339,4.46521584599999954434679239057,243015288.197214782238006591797,,,,,1048576,0,52600,995976,,89.0143939211386623355792835355,
scenario,4,2372613389500062495,1024,max_steps,-1,880411,83.962535858154296875,1073741824,0.0342653600000000016501111588241,4.40770351799999993147594068432,4.40631259300000088785509433364,0.00122488100000000058042992634455,0.00430439796679687493308197332453,0.00334534099999999993968469169658,0.00728992800000000020638202258283,4.44196887799999995394273355487,243605727.929543554782867431641,,,,,1048576,0,52493,996083,,88.3873131054339893353244406171,
scenario,5,5989941489866675944,1024,max_steps,-1,883271,84.235286712646484375,1073741824,0.0338970479999999990683434702987,4.41185294499999969275449984707,4.40957241999999993709025147837,0.00210753200000000136954403373579,0.0043084501416015621999555662569,0.00335457999999999980159093304621,0.00769811000000000019566348541389,4.44574999299999973345620674081,243376612.363493025302886962891,,,,,1048576,0,52274,996302,,88.6549459902720258241970441304,
scenario,6,11885432127967482550,1024,max_steps,-1,884951,84.395503997802734375,1073741824,0.0338875809999999999533315531153,4.44628712499999956264673528494,4.44468693299999184631587922922,0.00145450500000000350342421739924,0.0043420772705078120728972024267,0.00339243299999999982016762878345,0.01374326300000000035395064657,4.48017470599999967362236930057,241491787.150385648012161254883,,,,,1048576,0,52495,996081,,88.8432768017862031229014974087,
scenario,7,2917815717847516993,1024,max_steps,-1,880401,83.961582183837890625,1073741824,0.0338062950000000000949640366343,4.38987535099999970356066114618,4.38831472599999905526146903867,0.00137622100000000017160084464507,0.00428698764746093721050845815057,0.00334884400000000012620482436887,0.00758429299999999976394926548551,4.42368164599999946773323244997,244595059.801733314990997314453,,,,,1048576,0,52587,995989,,88.3946509449401531810508458875,
scenario,8,4832274043363942612,1024,max_steps,-1,877637,83.697986602783203125,1073741824,0.0311673659999999984326901625309,4.43568376500000027817804948427,4.43346835099999303508866432821,0.00202276800000000204354799748785,0.00433172242675781277165825144948,0.00338165999999999987435383985712,0.00704367099999999961290608752051,4.46685113100000030783576221438,242069065.534476846456527709961,,,,,1048576,0,52479,996097,,88.1075838999615541524690343067,
scenario,9,14948879451253332277,1024,max_steps,-1,879229,83.849811553955078125,1073741824,0.0311735120000000004436557787812,4.37385455699999958767421048833,4.37181916899999656322961527621,0.00188480699999999789379101500231,0.00427134234082031209733809618001,0.00334421899999999983760234911756,0.00714489399999999972440400952678,4.40502806899999921341759545612,245490975.981714636087417602539,,,,,1048576,0,52497,996079,,88.2690027598212623161089140922,
scenario,10,14498551043408648267,1024,max_steps,-1,878901,83.818531036376953125,1073741824,0.0307949079999999993095816108735,4.42606850600000001350053935312,4.42391640100000405055880037253,0.00202551099999999980466602877982,0.00432233252539062501318412046203,0.00339154199999999999420863261435,0.00680704799999999957127450045391,4.45686341399999985668500812608,242594940.079311996698379516602,,,,,1048576,0,52659,995917,,88.250426491364237335801590234,
scenario,11,10294643696719854755,1024,max_steps,-1,880720,83.99200439453125,1073741824,0.0307880700000000007143796665332,4.40472842900000038923735701246,4.40242948800000011289057511021,0.00210383400000000060636740073505,0.00430149260644531288011460645748,0.0033432439999999999900859304347,0.00739116600000000022879786953922,4.43551649900000022341828298522,243770266.727606207132339477539,,,,,1048576,0,52152,996424,,88.3880757589138710272891330533,
scenario,12,4272874766824154803,1024,max_steps,-1,880983,84.017086029052734375,1073741824,0.0312272799999999996212185493505,4.41642570299999981386918079806,4.41498364600000225976828005514,0.00126860599999999981365994550231,0.00431291572558593731823162187311,0.00334637300000000014257861558065,0.0110912330000000006885452208394,4.4476529830000002263545866299,243124620.724543422460556030273,,,,,1048576,0,52696,995880,,88.4627665983853432862815679982,
scenario,13,9800176906341358510,1024,max_steps,-1,886052,84.5005035400390625,1073741824,0.0313456280000000003793658720497,4.36550247000000002373099050601,4.36314817499999563210622000042,0.00219325300000000134384436911716,0.00426318600585937502317479541603,0.00333252799999999996596877771537,0.00679008200000000023549562300218,4.39684809800000042656620280468,245960649.748527109622955322266,,,,,1048576,0,52107,996469,,88.9191736019886178610249771737,
scenario,14,3770502660363133204,1024,max_steps,-1,884912,84.39178466796875,1073741824,0.0376527830000000021670736316537,4.36312511599999997002896634513,4.36155585599999895407563599292,0.00143619600000000004376421447461,0.00426086437109374997073141244641,0.00335435999999999980708542679508,0.00675248499999999991089127959754,4.40077789900000038159078030731,246094667.343479394912719726562,,,,,1048576,0,52521,996055,,88.8416804292935609055348322727,
scenario,15,13474834929945784015,1024,max_steps,-1,885210,84.42020416259765625,1073741824,0.0310454689999999991489865180938,4.36101244299999990516880643554,4.35943640299999835008293302963,0.00137951700000000045988335362068,0.00425880121386718740739141253471,0.00333505800000000011962253410047,0.00676858299999999989127186239557,4.39205791200000028595695766853,246213886.805917561054229736328,,,,,1048576,0,52371,996205,,88.8582169332617297641263576224,
